feature,count,mean,std,min,25%,50%,75%,max
early_chatter_band_energy_growth,3.0,-1.8513302720641635e-05,0.0003188616840298368,-0.0002043478310721373,-0.00020260543327148636,-0.0002008630354708354,7.440396145510619e-05,0.0003496709583810478
early_energy_growth_rate,3.0,-0.0003762346448964716,0.026809113825763634,-0.02678275487954274,-0.013973405264259258,-0.001164055648975777,0.012827025472426663,0.026818106593829102
early_hegr,3.0,0.5619991883640238,0.03599434135210046,0.5271352996067323,0.543485581831262,0.5598358640557919,0.5794311327426696,0.5990264014295473
early_instantaneous_amplitude_max,3.0,0.22793891890933224,0.0018175946913188102,0.22684313342332768,0.22688987720685455,0.22693662099038142,0.22848681165233453,0.23003700231428764
early_instantaneous_amplitude_mean,3.0,0.09388124187461305,0.004919995709764983,0.09062490518649446,0.09105137241427047,0.09147783964204646,0.09550941021867235,0.09954098079529822
early_instantaneous_energy_max,3.0,0.05195835318719642,0.0008305028392237248,0.051457807181313646,0.05147901856392284,0.05150022994653203,0.0522086261901378,0.05291702243374358
early_instantaneous_energy_mean,3.0,0.010932658316445973,0.001200552760388852,0.010227531728713072,0.010239553609382057,0.010251575490051042,0.011285221610312424,0.012318867730573807
early_short_term_spectral_energy_growth,3.0,-0.0014707054751497948,0.012441900685063812,-0.01415526073707983,-0.007562778901860088,-0.000970297066640346,0.004871572155815223,0.010713441378270792
freq_band_energy_ratio_band_1_0_50_hz,3.0,0.5314353221033133,0.01658942925143457,0.5171836556742603,0.5223299181057937,0.5274761805373269,0.5385611553178398,0.5496461300983526
freq_band_energy_ratio_band_2_50_150_hz,3.0,0.41874929163596364,0.01291586276811318,0.4047450686071572,0.4130272668298828,0.42130946505260836,0.42575140315036686,0.4301933412481253
freq_band_energy_ratio_band_3_150_300_hz,3.0,0.036191555481476956,0.0026665026498092696,0.033166581040803576,0.03518662350889772,0.03720666597699187,0.03770404270181364,0.03820141942663542
freq_band_energy_ratio_band_4_300_490_hz,3.0,0.013748409148300124,0.0009366327241366422,0.012681097704895578,0.013405891836389235,0.01413068596788289,0.014282064870002397,0.014433443772121902
freq_centroid,3.0,63.34102501154285,1.688925831076281,62.12473056927864,62.37684888333945,62.628967197400264,63.94917223267494,65.26937726794962
freq_chatter_band_ratio,3.0,0.011421093059354508,0.0007921693348214842,0.010594564956622712,0.011044776969468813,0.011494988982314915,0.011834357110720405,0.012173725239125898
freq_entropy,3.0,0.5417875718033566,0.011492445303506191,0.5347662746324416,0.5351562261155158,0.5355461775985901,0.545298220388814,0.5550502631790379
freq_harmonics_ratio,3.0,0.8938703938540472,0.004524227021955154,0.8886621641753858,0.8923919931208409,0.8961218220662961,0.8964745086933779,0.8968271953204596
freq_peak,3.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0
freq_sideband_ratio,3.0,1.0321413257543692,0.013366105078311352,1.0169352702971466,1.0271958414972686,1.0374564126973909,1.0397443534829804,1.04203229426857
freq_spectral_kurtosis,3.0,58.929258527653325,5.2643197551496135,52.88356588841311,57.14385413293111,61.404142377449105,61.95210484727343,62.500067317097766
freq_spindle_harmonic_ratio,3.0,0.5934898491760787,0.04000986509873283,0.5632355578850697,0.5708075983433458,0.578379638801622,0.6086169948215832,0.6388543508415444
freq_spread,3.0,49.22863560895288,1.3753637254171374,47.69459272887403,48.66717847231227,49.63976421575051,49.99565704899229,50.351549882234075
freq_tooth_harmonic_ratio,3.0,0.8938703938540472,0.004524227021955154,0.8886621641753858,0.8923919931208409,0.8961218220662961,0.8964745086933779,0.8968271953204596
imf1_correlation,3.0,0.5118978068740353,0.009626832260097406,0.5007992492292986,0.5088527913272105,0.5169063334251224,0.5174470856964035,0.5179878379676848
imf_1_bandwidth_hz,3.0,57.54060911616733,0.1543295318014498,57.37503726257567,57.470680756505644,57.56632425043562,57.62339504296315,57.68046583549069
imf_1_centre_frequency_hz,3.0,310.726415211232,0.46277966096688355,310.33155069280434,310.4717932417169,310.61203579062953,310.92384747044576,311.235659150262
imf_1_energy_ratio,3.0,0.3246312711195834,0.005709597174043678,0.3193356703024888,0.3216068593099879,0.32387804831748696,0.32727907152813074,0.3306800947387745
imf_1_gate,3.0,0.9816547447115379,0.0,0.9816547447115379,0.9816547447115379,0.9816547447115379,0.9816547447115379,0.9816547447115379
imf_1_kurtosis,3.0,1.4227402566198286,0.04680284577693008,1.3772456975979062,1.3987354035678181,1.42022510953773,1.4454875361307895,1.4707499627238492
imf_1_source_correlation,3.0,0.5118978068740353,0.009626832260097406,0.5007992492292986,0.5088527913272105,0.5169063334251224,0.5174470856964035,0.5179878379676848
imf_1_spectral_entropy,3.0,0.32615539739703386,0.009082704679507433,0.3193053882565733,0.32100401610209406,0.32270264394761483,0.3295804019672642,0.33645815998691353
imf_2_bandwidth_hz,3.0,16.7528623596432,2.5978669036374247,15.030031592565267,15.258810525554075,15.487589458542883,17.61427774318216,19.74096602782144
imf_2_centre_frequency_hz,3.0,39.06805731495816,0.4696268599314051,38.796293789342435,38.79691836074243,38.79754293214243,39.20393907776602,39.61033522338962
imf_2_energy_ratio,3.0,0.5606775864229658,0.030395857762465416,0.5323088609658916,0.544636665886726,0.5569644708075604,0.5748619491515029,0.5927594274954454
imf_2_gate,3.0,0.00655110658495268,0.0,0.00655110658495268,0.00655110658495268,0.00655110658495268,0.00655110658495268,0.00655110658495268
imf_2_kurtosis,3.0,1.9515586438085608,0.05755589860393879,1.8858324564197702,1.930862924046041,1.975893391672312,1.9844217375029563,1.9929500833336002
imf_2_source_correlation,3.0,0.6940746539101849,0.013742712016838004,0.6816585860094756,0.6866915284708682,0.6917244709322609,0.7002826878605395,0.7088409047888182
imf_2_spectral_entropy,3.0,0.33724316862858883,0.035741701500028,0.3018885714400941,0.3191848586903872,0.3364811459406803,0.35492046722283616,0.373359788504992
imf_3_bandwidth_hz,3.0,9.390957210318774,2.808047803504085,7.522804113858109,7.776352437814253,8.029900761770396,10.325033758549107,12.620166755327821
imf_3_centre_frequency_hz,3.0,22.265953374898388,3.3851824573341247,18.96553341348763,20.533946883804887,22.102360354122144,23.91616335560377,25.729966357085395
imf_3_energy_ratio,3.0,0.11469114245745071,0.034519504863190324,0.07656047776577997,0.10013016832786534,0.12369985888995069,0.1337564748032861,0.1438130907166215
imf_3_gate,3.0,0.002253258338818313,0.0,0.002253258338818313,0.002253258338818313,0.002253258338818313,0.002253258338818313,0.002253258338818313
imf_3_kurtosis,3.0,3.42724012986081,0.313745886585769,3.093305964664628,3.282923905455689,3.4725418462467497,3.594207212458901,3.715872578671053
imf_3_source_correlation,3.0,0.17779317770658168,0.04214694015309029,0.14009911411506965,0.15503987616022585,0.16998063820538203,0.19664020950233768,0.2232997807992933
imf_3_spectral_entropy,3.0,0.43898901939599244,0.05802839524441974,0.3998563382218072,0.4056539404604047,0.41145154269900214,0.45855535998308505,0.505659177267168
imf_bandwidth_mean,3.0,27.894809562043097,1.802711602824799,26.811656538970443,26.85430483746717,26.896953135963898,28.436386073579428,29.975819011194957
imf_centre_freq_mean,3.0,124.02014196702949,0.8558213408894457,123.27050926237973,123.55391114400555,123.83731302563137,124.39495831935437,124.95260361307739
imf_count,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
imf_entropy_mean,3.0,0.36746252847387173,0.03367590964882158,0.34035009930615817,0.34861427175096193,0.35687844419576575,0.38101874305772854,0.40515904191969127
imf_frequency_ordering_score,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
imf_max_adjacent_correlation,3.0,0.17644473334166774,0.021971078733411694,0.1521099789405584,0.16725487761420446,0.18239977628785053,0.18861211054222243,0.1948244447965943
imf_max_energy_ratio,3.0,0.5606775864229658,0.030395857762465416,0.5323088609658916,0.544636665886726,0.5569644708075604,0.5748619491515029,0.5927594274954454
imf_mode_mixing_index,3.0,0.161010158373418,0.015977102166375264,0.14320173997225716,0.1544716112762153,0.16574148258017346,0.16991436757399844,0.17408725256782343
imf_orthogonality_index,3.0,-0.25094611188756916,0.017924868712757867,-0.2679249594616586,-0.26031649372904675,-0.2527080279964348,-0.24245668810052445,-0.23220534820461408
imf_selected_count,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
physics_chatter_band_energy,3.0,6.071769670206414e-05,4.992478405061859e-06,5.6680971422314224e-05,5.792641848613026e-05,5.91718655499463e-05,6.27360593419391e-05,6.630025313393189e-05
