feature,count,mean,std,min,25%,50%,75%,max
early_chatter_band_energy_growth,1.0,1.3232241249079532e-09,,1.3232241249079532e-09,1.3232241249079532e-09,1.3232241249079532e-09,1.3232241249079532e-09,1.3232241249079532e-09
early_energy_growth_rate,1.0,4.902052097007653e-07,,4.902052097007653e-07,4.902052097007653e-07,4.902052097007653e-07,4.902052097007653e-07,4.902052097007653e-07
early_hegr,1.0,3.151165309724141e-05,,3.151165309724141e-05,3.151165309724141e-05,3.151165309724141e-05,3.151165309724141e-05,3.151165309724141e-05
early_instantaneous_amplitude_max,1.0,0.004581759902401601,,0.004581759902401601,0.004581759902401601,0.004581759902401601,0.004581759902401601,0.004581759902401601
early_instantaneous_amplitude_mean,1.0,0.0004728067392028391,,0.0004728067392028391,0.0004728067392028391,0.0004728067392028391,0.0004728067392028391,0.0004728067392028391
early_instantaneous_energy_max,1.0,2.0992523803255126e-05,,2.0992523803255126e-05,2.0992523803255126e-05,2.0992523803255126e-05,2.0992523803255126e-05,2.0992523803255126e-05
early_instantaneous_energy_mean,1.0,4.369600434586293e-07,,4.369600434586293e-07,4.369600434586293e-07,4.369600434586293e-07,4.369600434586293e-07,4.369600434586293e-07
early_short_term_spectral_energy_growth,1.0,1.863527485145273e-07,,1.863527485145273e-07,1.863527485145273e-07,1.863527485145273e-07,1.863527485145273e-07,1.863527485145273e-07
freq_band_energy_ratio_band_1_0_250_hz,1.0,0.07178739566993128,,0.07178739566993128,0.07178739566993128,0.07178739566993128,0.07178739566993128,0.07178739566993128
freq_band_energy_ratio_band_2_250_750_hz,1.0,0.0027037361708045523,,0.0027037361708045523,0.0027037361708045523,0.0027037361708045523,0.0027037361708045523,0.0027037361708045523
freq_band_energy_ratio_band_3_750_1750_hz,1.0,0.019246331376869482,,0.019246331376869482,0.019246331376869482,0.019246331376869482,0.019246331376869482,0.019246331376869482
freq_band_energy_ratio_band_4_1750_4000_hz,1.0,0.8947738986209903,,0.8947738986209903,0.8947738986209903,0.8947738986209903,0.8947738986209903,0.8947738986209903
freq_centroid,1.0,2232.7468132609265,,2232.7468132609265,2232.7468132609265,2232.7468132609265,2232.7468132609265,2232.7468132609265
freq_chatter_band_ratio,1.0,0.019246331376869482,,0.019246331376869482,0.019246331376869482,0.019246331376869482,0.019246331376869482,0.019246331376869482
freq_entropy,1.0,0.7128333538530367,,0.7128333538530367,0.7128333538530367,0.7128333538530367,0.7128333538530367,0.7128333538530367
freq_peak,1.0,2304.6875,,2304.6875,2304.6875,2304.6875,2304.6875,2304.6875
freq_spectral_kurtosis,1.0,25.32391955857511,,25.32391955857511,25.32391955857511,25.32391955857511,25.32391955857511,25.32391955857511
freq_spread,1.0,688.5147212223269,,688.5147212223269,688.5147212223269,688.5147212223269,688.5147212223269,688.5147212223269
imf1_correlation,1.0,0.8171118891050826,,0.8171118891050826,0.8171118891050826,0.8171118891050826,0.8171118891050826,0.8171118891050826
imf_1_bandwidth_hz,1.0,457.09981483142315,,457.09981483142315,457.09981483142315,457.09981483142315,457.09981483142315,457.09981483142315
imf_1_centre_frequency_hz,1.0,2397.6244310315715,,2397.6244310315715,2397.6244310315715,2397.6244310315715,2397.6244310315715,2397.6244310315715
imf_1_energy_ratio,1.0,0.6604971204075697,,0.6604971204075697,0.6604971204075697,0.6604971204075697,0.6604971204075697,0.6604971204075697
imf_1_gate,1.0,0.35915279782160564,,0.35915279782160564,0.35915279782160564,0.35915279782160564,0.35915279782160564,0.35915279782160564
imf_1_kurtosis,1.0,7.3760457339927035,,7.3760457339927035,7.3760457339927035,7.3760457339927035,7.3760457339927035,7.3760457339927035
imf_1_source_correlation,1.0,0.8171118891050826,,0.8171118891050826,0.8171118891050826,0.8171118891050826,0.8171118891050826,0.8171118891050826
imf_1_spectral_entropy,1.0,0.7177770937846821,,0.7177770937846821,0.7177770937846821,0.7177770937846821,0.7177770937846821,0.7177770937846821
imf_2_bandwidth_hz,1.0,292.5017194797818,,292.5017194797818,292.5017194797818,292.5017194797818,292.5017194797818,292.5017194797818
imf_2_centre_frequency_hz,1.0,825.5424569274755,,825.5424569274755,825.5424569274755,825.5424569274755,825.5424569274755,825.5424569274755
imf_2_energy_ratio,1.0,0.09478459253939063,,0.09478459253939063,0.09478459253939063,0.09478459253939063,0.09478459253939063,0.09478459253939063
imf_2_gate,1.0,0.22340603148141616,,0.22340603148141616,0.22340603148141616,0.22340603148141616,0.22340603148141616,0.22340603148141616
imf_2_kurtosis,1.0,3.8686256156806644,,3.8686256156806644,3.8686256156806644,3.8686256156806644,3.8686256156806644,3.8686256156806644
imf_2_source_correlation,1.0,0.3008713768695114,,0.3008713768695114,0.3008713768695114,0.3008713768695114,0.3008713768695114,0.3008713768695114
imf_2_spectral_entropy,1.0,0.7080290104418042,,0.7080290104418042,0.7080290104418042,0.7080290104418042,0.7080290104418042,0.7080290104418042
imf_3_bandwidth_hz,1.0,156.07558262710907,,156.07558262710907,156.07558262710907,156.07558262710907,156.07558262710907,156.07558262710907
imf_3_centre_frequency_hz,1.0,178.36111096441243,,178.36111096441243,178.36111096441243,178.36111096441243,178.36111096441243,178.36111096441243
imf_3_energy_ratio,1.0,0.07197833377787394,,0.07197833377787394,0.07197833377787394,0.07197833377787394,0.07197833377787394,0.07197833377787394
imf_3_gate,1.0,0.11542872032289345,,0.11542872032289345,0.11542872032289345,0.11542872032289345,0.11542872032289345,0.11542872032289345
imf_3_kurtosis,1.0,6.160956264951439,,6.160956264951439,6.160956264951439,6.160956264951439,6.160956264951439,6.160956264951439
imf_3_source_correlation,1.0,0.24203593546193616,,0.24203593546193616,0.24203593546193616,0.24203593546193616,0.24203593546193616,0.24203593546193616
imf_3_spectral_entropy,1.0,0.586714403394265,,0.586714403394265,0.586714403394265,0.586714403394265,0.586714403394265,0.586714403394265
imf_4_bandwidth_hz,1.0,21.7168298476884,,21.7168298476884,21.7168298476884,21.7168298476884,21.7168298476884,21.7168298476884
imf_4_centre_frequency_hz,1.0,116.96667768688347,,116.96667768688347,116.96667768688347,116.96667768688347,116.96667768688347,116.96667768688347
imf_4_energy_ratio,1.0,0.15497235331158285,,0.15497235331158285,0.15497235331158285,0.15497235331158285,0.15497235331158285,0.15497235331158285
